_id,etablissement_code,university_code,label_ar,label_fr,website,gouvernorat,type,lat,lon
103,909,9,المعهد العالي للفنون والحرف بسيدي بوزيد,Institut Supérieur des Arts et Métiers de Sidi Bouzid,isamsb.rnu.tn,Sidi Bouzid,Public,35.03298457408269,9.473779323856636
104,907,9,المعهد العالي للدراسات التطبيقية في الإنسانيات بسبيطلة,Institut Supérieur des Etudes Appliquées en Sciences Humaines de Sbeïtla,iseahs.rnu.tn,Kasserine,Public,35.24723510338917,9.108112113811353
105,906,9,المعهد العالي للدراسات القانونية والسياسية بالقيروان,Institut Supérieur des Etudes Juridiques et Politiques de Kairouan,isejpk.rnu.tn,Kairouan,Public,35.68174294315908,10.10004764105004
106,905,9,المعهد العالي للرياضيات التطبيقية والإعلامية بالقيروان,Institut Supérieur des Mathématiques Appliquées et de l'Informatique de Kairouan,ismaik.rnu.tn,Kairouan,Public,35.675255232495196,10.105435650549921
107,904,9,المعهد العالي للعلوم التطبيقية والتكنولوجيا بالقيروان,Institut Supérieur des Sciences Appliquées et de Technologie de Kairouan,issatkr.rnu.tn,Kairouan,Public,35.691139456231404,10.076441508409138
108,910,9,المعهد العالي للعلوم التطبيقية والتكنولوجيا بالقصرين,Institut Supérieur des Sciences Appliquées et de Technologie de Kasserine,issatkas.rnu.tn,Kasserine,Public,35.16698629465678,8.778655525599591
109,908,9,المعهد العالي للإعلامية والتصرف بالقيروان,Institut Supérieur d'Informatique et de Gestion de Kairouan,isigk.rnu.tn,Kairouan,Public,35.67620990575683,10.10534624748415
110,509,5,المدرسة الوطنية للطب البيطري بسيدي ثابت,Ecole Nationale de Médecine Vétérinaire de Sidi Thabet,enmv.agrinet.tn,Ariana,Public,36.91095724254412,10.04809756928227
111,510,5,المدرسة الوطنية لعلوم الإعلامية,Ecole Nationale des Sciences de l'Informatique,https://ensi.rnu.tn/,La Mannouba,Public,36.81336509494683,10.063482448198059
112,511,5,المدرسة العليا للتجارة بمنوبة,Ecole Supérieure de Commerce de Tunis,https://esct.rnu.tn/,La Mannouba,Public,36.813614141053925,10.06211309769657
113,512,5,المدرسة العليا للإقتصاد الرقمي بمنوبة,Ecole Supérieure d'Economie Numérique,,La Mannouba,Public,36.807408826488434,10.073081808245908
114,513,5,المدرسة العليا لعلوم وتكنولوجيات التصميم,Ecole Supérieure des Sciences et Technologies du Design,essted.rnu.tn,La Mannouba,Public,36.80289916461998,10.117035064005215
115,501,5,كلية الآداب والفنون والإنسانيات بمنوبة,Faculté des Lettres des Arts et des Humanités de la Manouba,https://flm.rnu.tn/,La Mannouba,Public,36.8118593590518,10.064957562143636
116,502,5,معهد الصحافة وعلوم الإخبار,Institut de Presse et des Sciences de l'Information,https://ipsi.rnu.tn/,La Mannouba,Public,36.81083280790823,10.068030692423516
117,504,5,المعهد العالي للبيوتكنولوجيا بسيدي ثابت,Institut Supérieur de Biotechnologie de Sidi Thabet,https://isbst.rnu.tn/,La Mannouba,Public,36.91675888203254,10.08472063157696
118,506,5,المعهد العالي للمحاسبة وإدارة المؤسسات,Institut Supérieur de Comptabilité et d'Administration des Entreprises de Manouba,www.iscae.rnu.tn,La Mannouba,Public,36.81457127127382,10.060849802160252
119,508,5,المعهد العالي للتوثيق,Institut Supérieur de Documentation de Tunis,www.isd.rnu.tn,La Mannouba,Public,36.81058459789056,10.068480583371395
120,503,5,المعهد العالي للتربية المختصة,Institut Supérieur de l’Education Spécialisée,ises.rnu.tn,La Mannouba,Public,36.81253916217798,10.100871749404858
121,505,5,المعهد العالي لفنون الملتيميديا,Institut Supérieur des Arts du Multimédia de la Manouba,www.isa2m.rnu.tn,La Mannouba,Public,36.81649609165054,10.06095770861293
122,507,5,المعهد العالي للرياضة والتربية البدنية بقصر السعيد,Institut Supérieur du Sport et de l'Education Physique de Ksar Saïd,issep-ks.rnu.tn,La Mannouba,Public,36.81560847148554,10.10547164143108
123,815,8,المدرسة الوطنية للمهندسين بالمنستير,Ecole Nationale d'Ingénieurs de Monastir,enim.rnu.tn,Monastir,Public,35.76499221953632,10.802917060898446
124,816,8,المدرسة العلـيـا لعلوم وتقـنـيات الصـحـة بالمنـسـتـير,Ecole Supérieure des Sciences et Techniques de la Santé de Monastir,esstsm.tn/public/,Monastir,Public,35.767266221293724,10.834376127469344
125,803,8,كلية الطب بالمنستير,Faculté de Médecine de Monastir,fmm.tn,Monastir,Public,35.767102058164156,10.833279107466927
126,805,8,كلية طب الأسنان,Faculté de Médecine Dentaire de Monastir,fmdm.rnu.tn,Monastir,Public,35.76406523698792,10.827724531066297
127,804,8,كلية الصيدلة بالمنستير,Faculté de Pharmacie de Monastir,fphm.rnu.tn,Monastir,Public,35.76541932433172,10.829376684151772
128,801,8,كلية العلوم بالمنستير,Faculté des Sciences de Monastir,fsm.rnu.tn,Monastir,Public,35.76364415948927,10.805460248448972
129,802,8,كلية العلوم الاقتصادية والتصرف بالمهدية,Faculté des Sciences Economiques et de Gestion de Mahdia,fsegma.rnu.tn,Mahdia,Public,35.521481113395865,11.03078095773148
130,814,8,المعهد التحضيري للدراسات الهندسية بالمنستير,Institut Préparatoire aux Etudes d'Ingénieurs de Monastir,ipeim.rnu.tn,Monastir,Public,35.76532941088168,10.802610616289789
131,811,8,المعهد العالي للبيوتكنولوجيا بالمنستير,Institut Supérieur de Biotechnologie de Monastir,isbm.rnu.tn,Monastir,Public,35.76271935402507,10.830121379884414
132,806,8,المعهد العالي لمهن الموضة بالمنستير,Institut Supérieur de la Mode de Monastir,ismmm.rnu.tn,Monastir,Public,35.76710391471817,10.841475766021075
133,807,8,المعهد العالي لللفنون والحرف بالمهدية,Institut Supérieur des Arts et Métiers de Mahdia,isammh.rnu.tn,Mahdia,Public,35.50222315318507,11.065108495943313
134,810,8,المعهد العالي للدراسات التطبيقية في الإنسانيات بالمهدية,Institut Supérieur des Etudes Appliquées en Humanités de Mahdia,iseahm.rnu.tn,Mahdia,Public,35.4785799563542,11.052346059060397
135,808,8,المعهد العالي للغات المطبقة بالمكنين,Institut Supérieur des Langues Appliquées de Moknine,islaatm.rnu.tn,Monastir,Public,35.62745177330968,10.895372834958193
136,809,8,المعهد العالي للعلوم التطبيقية والتكنولوجيا بالمهدية,Institut Supérieur des Sciences Appliquées et de Technologie de Mahdia,issatmh.rnu.tn,Mahdia,Public,35.4780823011109,11.052260725456925
137,813,8,المعهد العالي للإعلامية بالمهدية,Institut Supérieur d'Informatique de Mahdia,isima.rnu.tn,Mahdia,Public,35.524267785262495,11.030849743584147
138,812,8,المعهد العالي للإعلامية والرياضيات بالمنستير,Institut Supérieur d'Informatique et de Mathématiques de Monastir,isimm.rnu.tn,Monastir,Public,35.764344776123245,10.841211866065374
139,1011,10,المدرسة الوطنية للإلكترونيك والإتصالات بصفاقس,Ecole Nationale d'Electronique et des Télécommunications de Sfax,enetcom.rnu.tn,Sfax,Public,34.83834705484686,10.755237751154093
140,1017,10,المدرسة الوطنية للمهندسين بصفاقس,Ecole Nationale d'Ingénieurs de Sfax,enis.rnu.tn,Sfax,Public,34.725233906831335,10.718041582579742
141,1018,10,المدرسـة العليـا للتجارة بصفاقس,Ecole Supérieure de Commerce de Sfax,escs.rnu.tn,Sfax,Public,34.7336294807743,10.709180432852216
142,1019,10,المدرسة العليا لعلوم وتقنيات الصحة بصفاقس,Ecole Supérieure des Sciences et Techniques de la Santé de Sfax,,Sfax,Public,34.734200265938995,10.70525767361427
143,1004,10,كليـة الحقـوق بصفاقـس,Faculté de Droit de Sfax,fdsf.rnu.tn,Sfax,Public,34.793203127581606,10.838664793482684
144,1005,10,كلية الطب بصفاقس,Faculté de Médecine de Sfax,medecinesfax.org,Sfax,Public,34.73809744532428,10.750706886640202
145,1003,10,كلية الآداب والعلوم الإنسانية بصفاقس,Faculté des Lettres et Sciences Humaines de Sfax,flshs.rnu.tn,Sfax,Public,34.73432987905602,10.702772620233052
146,1001,10,كلية العلوم بصفاقس,Faculté des Sciences de Sfax,fss.rnu.tn,Sfax,Public,34.728004972299864,10.718782903530478
147,1002,10,كلية العلوم الإقتصادية والتصرف بصفاقس,Faculté des Sciences Economiques et de Gestion de Sfax,fsegs.rnu.tn,Sfax,Public,34.73359990470372,10.710172988779556
148,1006,10,معهد الدراسات العليا التجارية بصفاقس,Institut des Hautes Etudes Commerciales de Sfax,ihecsf.rnu.tn,Sfax,Public,34.794110229191624,10.836636290542263
149,1015,10,المعهد التحضيري للدراسات الهندسية بصفاقس,Institut Préparatoire aux Etudes d'Ingénieurs de Sfax,ipeis.rnu.tn,Sfax,Public,34.737441646060766,10.748793242415168
150,1014,10,المعهد العالي لإدارة الأعمال بصفاقس,Institut Supérieur d'Administration des Affaires de Sfax,isaas.rnu.tn,Sfax,Public,34.73547426451344,10.711704981465555
151,1010,10,المعهد العالي للبيوتكنولوجيا بصفاقس,Institut Supérieur de Biotechnologie de Sfax,isbs.rnu.tn,Sfax,Public,34.72405565459974,10.718935288413087
152,1009,10,المعهد العالي للتصرف الصناعي بصفاقس,Institut Supérieur de Gestion Industrielle de Sfax,isgis.rnu.tn,Sfax,Public,34.83847139939949,10.753491616729736
153,1007,10,المعهد العالي للموسيقى بصفاقس,Institut Supérieur de Musique de Sfax,ismsf.rnu.tn,Sfax,Public,34.83576670505437,10.753281680602203
154,1008,10,المعهد العالي للفنون والحرف بصفاقس,Institut Supérieur des Arts et Métiers de Sfax,isams.rnu.tn,Sfax,Public,34.747838806480765,10.761832646880315
155,1013,10,المعهد العالي لعلوم التمريض بصفاقس,Institut Supérieur des Sciences Infirmières de Sfax,,Sfax,Public,34.73802913066235,10.749167
156,1012,10,المعهد العالي للإعلامية والملتيميديا بصفاقس,Institut Supérieur d'Informatique et de Multimédia de Sfax,isimsf.rnu.tn,Sfax,Public,34.84003001925982,10.75727073883884
157,1016,10,المعهد العالي للرياضة والتربية البدنية بصفاقس,Institut Supérieur du Sport et de l'Education Physique de Sfax,,Sfax,Public,34.731694838177766,10.713302542329245
158,714,7,المدرسة الوطنية للمهندسين بسوسة,Ecole Nationale d’Ingénieurs de Sousse,eniso.rnu.tn,Sousse,Public,35.81997712878277,10.593317057775582
159,715,7,المدرسة العليا للعلوم والتكنولوجيا بحمام سوسة,Ecole Supérieure des Sciences et des Technologies de Hammam Sousse,essths.rnu.tn,Sousse,Public,35.85019402851186,10.597925056623875
160,716,7,المدرسة العليا لعلوم وتقنيات الصحة بسـوسة,Ecole Supérieure des Sciences et Techniques de la Santé de Sousse,esstssousse.tn,Sousse,Public,35.83922686574052,10.589882568801979
